COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
     900673     2011    73P-C           Schwassmann-Wachmann 3 
     900674     2001    73P-E           Schwassmann-Wachmann 3 
     900675     2006    73P-G           Schwassmann-Wachmann 3 
     900676     2006    73P-H           Schwassmann-Wachmann 3 
     900677     2006    73P-J           Schwassmann-Wachmann 3 
     900678     2006    73P-K           Schwassmann-Wachmann 3 
     900679     2006    73P-L           Schwassmann-Wachmann 3 
     900680     2006    73P-M           Schwassmann-Wachmann 3 
     900681     2006    73P-N           Schwassmann-Wachmann 3 
     900682     2006    73P-P           Schwassmann-Wachmann 3 
     900683     2006    73P-Q           Schwassmann-Wachmann 3 
     900684     2006    73P-R           Schwassmann-Wachmann 3 
     900685     2006    73P-S           Schwassmann-Wachmann 3 
